pattern_size,pattern,count,rally_count,win_rate,avg_predicted_win_probability,avg_attention_weight,rally_support_pct
2,Long Defence -> Fall,2,2,1.0,0.5458,0.3769,0.0328
2,Lift -> Miss,2,2,0.0,0.4516,0.3098,0.0328
3,Drive -> Lift -> Miss,2,2,0.0,0.4516,0.2992,0.0328
2,Clear -> Fall,6,6,0.6667,0.5441,0.276,0.0984
2,Drop -> Net,3,3,0.0,0.4511,0.2333,0.0492
3,Drop -> Clear -> Fall,2,2,1.0,0.5439,0.2119,0.0328
2,Drop -> Clear,2,2,1.0,0.5439,0.1999,0.0328
2,Lift -> Fall,7,7,0.8571,0.5221,0.1986,0.1148
3,Drop -> Drop -> Clear,2,2,1.0,0.5439,0.1831,0.0328
3,Lift -> Drop -> Net,2,2,0.0,0.4431,0.1659,0.0328
3,Clear -> Lift -> Fall,3,3,0.6667,0.5316,0.1638,0.0492
2,Clear -> Lift,2,2,0.0,0.4888,0.1635,0.0328
2,Lift -> Clear,2,2,0.0,0.4888,0.1621,0.0328
2,Lift -> Drop,2,2,0.0,0.4431,0.1586,0.0328
3,Lift -> Clear -> Lift,2,2,0.0,0.4888,0.1583,0.0328
3,Drop -> Drive -> Lift,2,2,0.5,0.4812,0.1524,0.0328
2,Drop -> Drive,3,3,0.3333,0.4646,0.144,0.0492
2,Net Shot -> Smash,2,2,1.0,0.5231,0.1276,0.0328
2,Smash -> Net Shot,2,2,1.0,0.5231,0.1271,0.0328
2,Net Shot -> Lift,2,2,0.5,0.5186,0.1153,0.0328
2,Clear -> Drop,2,2,0.5,0.4947,0.1121,0.0328
2,Serve -> Clear,2,2,0.5,0.4947,0.1085,0.0328
3,Serve -> Clear -> Drop,2,2,0.5,0.4947,0.1049,0.0328
