RallyId,ShotTypes,Player1Won,ShotSeqJson,EncodedSequenceJson,sequence_length,dataset_split
5_1,"Serve, Lift, Drop, Lift, Net",0.0,"[""Serve"", ""Lift"", ""Drop"", ""Lift"", ""Net""]","[15, 8, 6, 8, 11]",5,validation
5_2,"Lift, Drive, Drive, Clear, Drop, Lift, Drop, Clear, Drive, Lift, Clear, Lift, Drive, Lift, Drive, Fall",0.0,"[""Lift"", ""Drive"", ""Drive"", ""Clear"", ""Drop"", ""Lift"", ""Drop"", ""Clear"", ""Drive"", ""Lift"", ""Clear"", ""Lift"", ""Drive"", ""Lift"", ""Drive"", ""Fall""]","[8, 5, 5, 3, 6, 8, 6, 3, 5, 8, 3, 8, 5, 8, 5, 7]",16,train
5_3,"Drive, Lift, Miss",0.0,"[""Drive"", ""Lift"", ""Miss""]","[5, 8, 10]",3,train
5_4,"Serve, Lift, Lift, Lift, Lift, Drop, Net",0.0,"[""Serve"", ""Lift"", ""Lift"", ""Lift"", ""Lift"", ""Drop"", ""Net""]","[15, 8, 8, 8, 8, 6, 11]",7,train
5_5,"Drop, Drive, Lift, Lift, Drive, Smash, Lift, Drop, Clear, Drive, Drop, Lift, Drive, Fall",0.0,"[""Drop"", ""Drive"", ""Lift"", ""Lift"", ""Drive"", ""Smash"", ""Lift"", ""Drop"", ""Clear"", ""Drive"", ""Drop"", ""Lift"", ""Drive"", ""Fall""]","[6, 5, 8, 8, 5, 17, 8, 6, 3, 5, 6, 8, 5, 7]",14,train
5_6,"Serve, Lift, Clear, Lift, Fall",0.0,"[""Serve"", ""Lift"", ""Clear"", ""Lift"", ""Fall""]","[15, 8, 3, 8, 7]",5,train
5_7,"Serve, Drive, Lift, Miss",0.0,"[""Serve"", ""Drive"", ""Lift"", ""Miss""]","[15, 5, 8, 10]",4,test
5_8,"Lift, Drive, Drop, Drive, Miss",0.0,"[""Lift"", ""Drive"", ""Drop"", ""Drive"", ""Miss""]","[8, 5, 6, 5, 10]",5,test
5_9,"Smash, Drop, Drive, Lift, Drop, Drive, Drop, Clear, Drop, Drop, Lift, Drive, Drive, Drive, Lift, Smash, Lift, Drop, Lift, Smash, Smash, Drop, Lift, Drive, Smash, Serve, Lift, Drop, Smash, Drive, Lift, Drive, Drive, Lift, Smash, Miss",1.0,"[""Smash"", ""Drop"", ""Drive"", ""Lift"", ""Drop"", ""Drive"", ""Drop"", ""Clear"", ""Drop"", ""Drop"", ""Lift"", ""Drive"", ""Drive"", ""Drive"", ""Lift"", ""Smash"", ""Lift"", ""Drop"", ""Lift"", ""Smash"", ""Smash"", ""Drop"", ""Lift"", ""Drive"", ""Smash"", ""Serve"", ""Lift"", ""Drop"", ""Smash"", ""Drive"", ""Lift"", ""Drive"", ""Drive"", ""Lift"", ""Smash"", ""Miss""]","[17, 6, 5, 8, 6, 5, 6, 3, 6, 6, 8, 5, 5, 5, 8, 17, 8, 6, 8, 17, 17, 6, 8, 5, 17, 15, 8, 6, 17, 5, 8, 5, 5, 8, 17, 10]",36,train
6_1,"Serve, Lift, Drop, Drive, Lift, Drive, Smash, Drop, Clear, Smash, Serve, Clear, Drop, Lift, Drop, Drive, Drop, Lift, Drop, Drive, Drive, Lift, Drop, Drop, Lift, Drop, Drop, Lift, Drive, Drop, Clear, Drop, Cross Drop, Drop, Smash, Drive, Drive, Drop, Smash, Lift, Clear, Cross Drop, Smash, Drop, Drop, Smash, Serve, Lift, Clear, Drop, Lift, Drive, Lift, Cross Drop, Drop, Lift, Drop, Lift, Clear, Drop, Fall",1.0,"[""Serve"", ""Lift"", ""Drop"", ""Drive"", ""Lift"", ""Drive"", ""Smash"", ""Drop"", ""Clear"", ""Smash"", ""Serve"", ""Clear"", ""Drop"", ""Lift"", ""Drop"", ""Drive"", ""Drop"", ""Lift"", ""Drop"", ""Drive"", ""Drive"", ""Lift"", ""Drop"", ""Drop"", ""Lift"", ""Drop"", ""Drop"", ""Lift"", ""Drive"", ""Drop"", ""Clear"", ""Drop"", ""Cross Drop"", ""Drop"", ""Smash"", ""Drive"", ""Drive"", ""Drop"", ""Smash"", ""Lift"", ""Clear"", ""Cross Drop"", ""Smash"", ""Drop"", ""Drop"", ""Smash"", ""Serve"", ""Lift"", ""Clear"", ""Drop"", ""Lift"", ""Drive"", ""Lift"", ""Cross Drop"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Clear"", ""Drop"", ""Fall""]","[15, 8, 6, 5, 8, 5, 17, 6, 3, 17, 15, 3, 6, 8, 6, 5, 6, 8, 6, 5, 5, 8, 6, 6, 8, 6, 6, 8, 5, 6, 3, 6, 4, 6, 17, 5, 5, 6, 17, 8, 3, 4, 17, 6, 6, 17, 15, 8, 3, 6, 8, 5, 8, 4, 6, 8, 6, 8, 3, 6, 7]",61,train
