metric,higher_is_better,lstm_value,bilstm_value,bilstm_minus_lstm,better_model
test_accuracy,True,0.5625,0.75,0.1875,BiLSTM
test_roc_auc,True,0.6984,0.8254,0.127,BiLSTM
test_loss,False,0.6813,0.5607,-0.1206,BiLSTM
test_prefix_accuracy,True,0.6957,0.7101,0.0144,BiLSTM
test_prefix_roc_auc,True,0.7386,0.7488,0.0102,BiLSTM
test_next_shot_accuracy,True,0.2535,0.222,-0.0315,LSTM
test_next_shot_top3_accuracy,True,0.5198,0.5346,0.0148,BiLSTM
best_val_accuracy,True,0.7652,0.7565,-0.0087,LSTM
best_val_auc,True,0.7345,0.6464,-0.0881,LSTM
best_val_next_shot_accuracy,True,0.2696,0.2696,0.0,tie
best_val_next_shot_top3_accuracy,True,0.6087,0.5826,-0.0261,LSTM
epochs_ran,True,15.0,17.0,2.0,BiLSTM
