RallyId,Player1Won,dataset_split,position,shot,prefix_sequence,win_probability_after_shot,delta_vs_previous_shot,cumulative_delta_vs_first_shot
5_1,0,validation,1,Serve,Serve,0.4931,0.0,0.0
5_1,0,validation,2,Lift,Serve -> Lift,0.4941,0.001,0.001
5_1,0,validation,3,Drop,Serve -> Lift -> Drop,0.4943,0.0002,0.0012
5_1,0,validation,4,Lift,Serve -> Lift -> Drop -> Lift,0.4948,0.0005,0.0017
5_1,0,validation,5,Net,Serve -> Lift -> Drop -> Lift -> Net,0.4955,0.0007,0.0024
5_2,0,train,1,Lift,Lift,0.4989,0.0,0.0
5_2,0,train,2,Drive,Lift -> Drive,0.4984,-0.0005,-0.0005
5_2,0,train,3,Drive,Lift -> Drive -> Drive,0.498,-0.0004,-0.0008
5_2,0,train,4,Clear,Lift -> Drive -> Drive -> Clear,0.4987,0.0007,-0.0001
5_2,0,train,5,Drop,Lift -> Drive -> Drive -> Clear -> Drop,0.4986,-0.0001,-0.0002
5_2,0,train,6,Lift,Lift -> Drive -> Drive -> Clear -> Drop -> Lift,0.4986,-0.0,-0.0002
5_2,0,train,7,Drop,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop,0.4986,-0.0,-0.0003
5_2,0,train,8,Clear,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear,0.4991,0.0005,0.0002
5_2,0,train,9,Drive,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive,0.4994,0.0003,0.0005
5_2,0,train,10,Lift,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift,0.4997,0.0003,0.0008
5_2,0,train,11,Clear,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear,0.5002,0.0005,0.0013
5_2,0,train,12,Lift,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear -> Lift,0.5005,0.0003,0.0016
5_2,0,train,13,Drive,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear -> Lift -> Drive,0.5008,0.0002,0.0019
5_2,0,train,14,Lift,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear -> Lift -> Drive -> Lift,0.501,0.0002,0.0021
5_2,0,train,15,Drive,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear -> Lift -> Drive -> Lift -> Drive,0.5011,0.0001,0.0022
5_2,0,train,16,Fall,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear -> Lift -> Drive -> Lift -> Drive -> Fall,0.5015,0.0004,0.0027
5_3,0,train,1,Drive,Drive,0.5036,0.0,0.0
5_3,0,train,2,Lift,Drive -> Lift,0.4997,-0.0039,-0.0039
5_3,0,train,3,Miss,Drive -> Lift -> Miss,0.4986,-0.0011,-0.0051
5_4,0,train,1,Serve,Serve,0.4931,0.0,0.0
5_4,0,train,2,Lift,Serve -> Lift,0.4941,0.001,0.001
5_4,0,train,3,Lift,Serve -> Lift -> Lift,0.4945,0.0004,0.0014
5_4,0,train,4,Lift,Serve -> Lift -> Lift -> Lift,0.495,0.0004,0.0019
5_4,0,train,5,Lift,Serve -> Lift -> Lift -> Lift -> Lift,0.4954,0.0004,0.0023
5_4,0,train,6,Drop,Serve -> Lift -> Lift -> Lift -> Lift -> Drop,0.4958,0.0004,0.0027
5_4,0,train,7,Net,Serve -> Lift -> Lift -> Lift -> Lift -> Drop -> Net,0.4964,0.0005,0.0032
5_5,0,train,1,Drop,Drop,0.4978,0.0,0.0
5_5,0,train,2,Drive,Drop -> Drive,0.4977,-0.0002,-0.0002
5_5,0,train,3,Lift,Drop -> Drive -> Lift,0.4975,-0.0001,-0.0003
5_5,0,train,4,Lift,Drop -> Drive -> Lift -> Lift,0.4975,-0.0,-0.0003
5_5,0,train,5,Drive,Drop -> Drive -> Lift -> Lift -> Drive,0.4976,0.0001,-0.0003
5_5,0,train,6,Smash,Drop -> Drive -> Lift -> Lift -> Drive -> Smash,0.4979,0.0004,0.0001
5_5,0,train,7,Lift,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift,0.4982,0.0003,0.0004
