video_id,RallyId,StartTimestamp,RallyEndTimestamp,ShotTypes,Player1Won,ShotSeq,LabelSeq,ConfidenceSeq,attack_ratio,defense_ratio,neutral_ratio,terminal_ratio,rally_length,non_terminal_length,rally_duration_sec,attack_count,defense_count,neutral_count,terminal_count,attack_streak_max,defense_to_attack_transitions,neutral_to_attack_transitions,early_attack,last_tactical_attack,dominant_tactic,strategy_cluster,sequence_model_probability,strategy_cluster_name
5,5_1,44.84,51.78,"Serve, Lift, Drop, Lift, Net",0.0,"['Serve', 'Lift', 'Drop', 'Lift', 'Net']","['Neutral', 'Defense', 'Neutral', 'Defense', 'Neutral']","[{'Attack': 0.15, 'Defense': 0.0, 'Neutral': 0.85, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.15, 'Defense': 0.05, 'Neutral': 0.8, 'Terminal': 0.0}]",0.0,0.4,0.6,0.0,5,5,6.94,0,2,3,0,0,0,0,0,0,Neutral,2,0.4955,Balanced
5,5_2,61.66,97.46,"Lift, Drive, Drive, Clear, Drop, Lift, Drop, Clear, Drive, Lift, Clear, Lift, Drive, Lift, Drive, Fall",0.0,"['Lift', 'Drive', 'Drive', 'Clear', 'Drop', 'Lift', 'Drop', 'Clear', 'Drive', 'Lift', 'Clear', 'Lift', 'Drive', 'Lift', 'Drive', 'Fall']","['Defense', 'Attack', 'Attack', 'Defense', 'Neutral', 'Defense', 'Neutral', 'Defense', 'Attack', 'Defense', 'Defense', 'Defense', 'Attack', 'Defense', 'Attack', 'Terminal']","[{'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.0, 'Neutral': 0.0, 'Terminal': 1.0}]",0.3125,0.5,0.125,0.0625,16,15,35.8,5,8,2,1,2,4,0,1,1,Defense,2,0.5015,Balanced
5,5_3,106.56,110.18,"Drive, Lift, Miss",0.0,"['Drive', 'Lift', 'Miss']","['Attack', 'Defense', 'Terminal']","[{'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.0, 'Neutral': 0.0, 'Terminal': 1.0}]",0.3333,0.3333,0.0,0.3333,3,2,3.62,1,1,0,1,1,0,0,1,0,Attack,1,0.4986,Defensive
5,5_4,121.24,130.86,"Serve, Lift, Lift, Lift, Lift, Drop, Net",0.0,"['Serve', 'Lift', 'Lift', 'Lift', 'Lift', 'Drop', 'Net']","['Neutral', 'Defense', 'Defense', 'Defense', 'Defense', 'Neutral', 'Neutral']","[{'Attack': 0.15, 'Defense': 0.0, 'Neutral': 0.85, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.15, 'Defense': 0.05, 'Neutral': 0.8, 'Terminal': 0.0}]",0.0,0.5714,0.4286,0.0,7,7,9.62,0,4,3,0,0,0,0,0,0,Defense,2,0.4964,Balanced
5,5_5,143.2,184.34,"Drop, Drive, Lift, Lift, Drive, Smash, Lift, Drop, Clear, Drive, Drop, Lift, Drive, Fall",0.0,"['Drop', 'Drive', 'Lift', 'Lift', 'Drive', 'Smash', 'Lift', 'Drop', 'Clear', 'Drive', 'Drop', 'Lift', 'Drive', 'Fall']","['Neutral', 'Attack', 'Defense', 'Defense', 'Attack', 'Attack', 'Defense', 'Neutral', 'Defense', 'Attack', 'Neutral', 'Defense', 'Attack', 'Terminal']","[{'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.0, 'Neutral': 0.0, 'Terminal': 1.0}]",0.3571,0.3571,0.2143,0.0714,14,13,41.14,5,5,3,1,2,3,1,1,1,Attack,0,0.5007,Aggressive
5,5_6,194.2,202.04,"Serve, Lift, Clear, Lift, Fall",0.0,"['Serve', 'Lift', 'Clear', 'Lift', 'Fall']","['Neutral', 'Defense', 'Defense', 'Defense', 'Terminal']","[{'Attack': 0.15, 'Defense': 0.0, 'Neutral': 0.85, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.0, 'Neutral': 0.0, 'Terminal': 1.0}]",0.0,0.6,0.2,0.2,5,4,7.84,0,3,1,1,0,0,0,0,0,Defense,2,0.498,Balanced
5,5_7,213.04,218.76,"Serve, Drive, Lift, Miss",0.0,"['Serve', 'Drive', 'Lift', 'Miss']","['Neutral', 'Attack', 'Defense', 'Terminal']","[{'Attack': 0.15, 'Defense': 0.0, 'Neutral': 0.85, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.0, 'Neutral': 0.0, 'Terminal': 1.0}]",0.25,0.25,0.25,0.25,4,3,5.72,1,1,1,1,1,0,1,1,0,Attack,2,0.4951,Balanced
5,5_8,223.56,229.94,"Lift, Drive, Drop, Drive, Miss",0.0,"['Lift', 'Drive', 'Drop', 'Drive', 'Miss']","['Defense', 'Attack', 'Neutral', 'Attack', 'Terminal']","[{'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.0, 'Neutral': 0.0, 'Terminal': 1.0}]",0.4,0.2,0.2,0.2,5,4,6.38,2,1,1,1,1,1,1,1,1,Attack,2,0.4976,Balanced
5,5_9,242.94,363.46,"Smash, Drop, Drive, Lift, Drop, Drive, Drop, Clear, Drop, Drop, Lift, Drive, Drive, Drive, Lift, Smash, Lift, Drop, Lift, Smash, Smash, Drop, Lift, Drive, Smash, Serve, Lift, Drop, Smash, Drive, Lift, Drive, Drive, Lift, Smash, Miss",1.0,"['Smash', 'Drop', 'Drive', 'Lift', 'Drop', 'Drive', 'Drop', 'Clear', 'Drop', 'Drop', 'Lift', 'Drive', 'Drive', 'Drive', 'Lift', 'Smash', 'Lift', 'Drop', 'Lift', 'Smash', 'Smash', 'Drop', 'Lift', 'Drive', 'Smash', 'Serve', 'Lift', 'Drop', 'Smash', 'Drive', 'Lift', 'Drive', 'Drive', 'Lift', 'Smash', 'Miss']","['Attack', 'Neutral', 'Attack', 'Defense', 'Neutral', 'Attack', 'Neutral', 'Defense', 'Neutral', 'Neutral', 'Defense', 'Attack', 'Attack', 'Attack', 'Defense', 'Attack', 'Defense', 'Neutral', 'Defense', 'Attack', 'Attack', 'Neutral', 'Defense', 'Attack', 'Attack', 'Neutral', 'Defense', 'Neutral', 'Attack', 'Attack', 'Defense', 'Attack', 'Attack', 'Defense', 'Attack', 'Terminal']","[{'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.15, 'Defense': 0.0, 'Neutral': 0.85, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.0, 'Neutral': 0.0, 'Terminal': 1.0}]",0.4444,0.2778,0.25,0.0278,36,35,120.52,16,10,9,1,3,6,3,1,1,Attack,0,0.5031,Aggressive
6,6_1,3.0,134.14,"Serve, Lift, Drop, Drive, Lift, Drive, Smash, Drop, Clear, Smash, Serve, Clear, Drop, Lift, Drop, Drive, Drop, Lift, Drop, Drive, Drive, Lift, Drop, Drop, Lift, Drop, Drop, Lift, Drive, Drop, Clear, Drop, Cross Drop, Drop, Smash, Drive, Drive, Drop, Smash, Lift, Clear, Cross Drop, Smash, Drop, Drop, Smash, Serve, Lift, Clear, Drop, Lift, Drive, Lift, Cross Drop, Drop, Lift, Drop, Lift, Clear, Drop, Fall",1.0,"['Serve', 'Lift', 'Drop', 'Drive', 'Lift', 'Drive', 'Smash', 'Drop', 'Clear', 'Smash', 'Serve', 'Clear', 'Drop', 'Lift', 'Drop', 'Drive', 'Drop', 'Lift', 'Drop', 'Drive', 'Drive', 'Lift', 'Drop', 'Drop', 'Lift', 'Drop', 'Drop', 'Lift', 'Drive', 'Drop', 'Clear', 'Drop', 'Cross Drop', 'Drop', 'Smash', 'Drive', 'Drive', 'Drop', 'Smash', 'Lift', 'Clear', 'Cross Drop', 'Smash', 'Drop', 'Drop', 'Smash', 'Serve', 'Lift', 'Clear', 'Drop', 'Lift', 'Drive', 'Lift', 'Cross Drop', 'Drop', 'Lift', 'Drop', 'Lift', 'Clear', 'Drop', 'Fall']","['Neutral', 'Defense', 'Neutral', 'Attack', 'Defense', 'Attack', 'Attack', 'Neutral', 'Defense', 'Attack', 'Neutral', 'Defense', 'Neutral', 'Defense', 'Neutral', 'Attack', 'Neutral', 'Defense', 'Neutral', 'Attack', 'Attack', 'Defense', 'Neutral', 'Neutral', 'Defense', 'Neutral', 'Neutral', 'Defense', 'Attack', 'Neutral', 'Defense', 'Neutral', 'Neutral', 'Neutral', 'Attack', 'Attack', 'Attack', 'Neutral', 'Attack', 'Defense', 'Defense', 'Neutral', 'Attack', 'Neutral', 'Neutral', 'Attack', 'Neutral', 'Defense', 'Defense', 'Neutral', 'Defense', 'Attack', 'Defense', 'Neutral', 'Neutral', 'Defense', 'Neutral', 'Defense', 'Defense', 'Neutral', 'Terminal']","[{'Attack': 0.15, 'Defense': 0.0, 'Neutral': 0.85, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.15, 'Defense': 0.0, 'Neutral': 0.85, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.3, 'Defense': 0.05, 'Neutral': 0.65, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.3, 'Defense': 0.05, 'Neutral': 0.65, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.9, 'Defense': 0.0, 'Neutral': 0.1, 'Terminal': 0.0}, {'Attack': 0.15, 'Defense': 0.0, 'Neutral': 0.85, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.65, 'Defense': 0.1, 'Neutral': 0.25, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.3, 'Defense': 0.05, 'Neutral': 0.65, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.85, 'Neutral': 0.15, 'Terminal': 0.0}, {'Attack': 0.05, 'Defense': 0.75, 'Neutral': 0.2, 'Terminal': 0.0}, {'Attack': 0.2, 'Defense': 0.1, 'Neutral': 0.7, 'Terminal': 0.0}, {'Attack': 0.0, 'Defense': 0.0, 'Neutral': 0.0, 'Terminal': 1.0}]",0.2459,0.3115,0.4262,0.0164,61,60,131.14,15,19,26,1,3,4,7,0,0,Neutral,0,0.5048,Aggressive
