video_id,RallyId,StartTimestamp,RallyEndTimestamp,ShotTypes,Player1Won
5,5_1,44.84,51.78,"Serve, Lift, Drop, Lift, Net",0
5,5_2,61.66,97.46,"Lift, Drive, Drive, Clear, Drop, Lift, Drop, Clear, Drive, Lift, Clear, Lift, Drive, Lift, Drive, Fall",0
5,5_3,106.56,110.18,"Drive, Lift, Miss",0
5,5_4,121.24,130.86,"Serve, Lift, Lift, Lift, Lift, Drop, Net",0
5,5_5,143.2,184.34,"Drop, Drive, Lift, Lift, Drive, Smash, Lift, Drop, Clear, Drive, Drop, Lift, Drive, Fall",0
5,5_6,194.2,202.04,"Serve, Lift, Clear, Lift, Fall",0
5,5_7,213.04,218.76,"Serve, Drive, Lift, Miss",0
5,5_8,223.56,229.94,"Lift, Drive, Drop, Drive, Miss",0
5,5_9,242.94,363.46,"Smash, Drop, Drive, Lift, Drop, Drive, Drop, Clear, Drop, Drop, Lift, Drive, Drive, Drive, Lift, Smash, Lift, Drop, Lift, Smash, Smash, Drop, Lift, Drive, Smash, Serve, Lift, Drop, Smash, Drive, Lift, Drive, Drive, Lift, Smash, Miss",1
6,6_1,3,134.14,"Serve, Lift, Drop, Drive, Lift, Drive, Smash, Drop, Clear, Smash, Serve, Clear, Drop, Lift, Drop, Drive, Drop, Lift, Drop, Drive, Drive, Lift, Drop, Drop, Lift, Drop, Drop, Lift, Drive, Drop, Clear, Drop, Cross Drop, Drop, Smash, Drive, Drive, Drop, Smash, Lift, Clear, Cross Drop, Smash, Drop, Drop, Smash, Serve, Lift, Clear, Drop, Lift, Drive, Lift, Cross Drop, Drop, Lift, Drop, Lift, Clear, Drop, Fall",1
6,6_2,144,151.54,"Serve, Lift, Drop, Lift, Drop, Net",0
6,6_3,163.26,192.06,"Drop, Smash, Lift, Cross Drop, Smash, Lift, Drop, Drop, Lift, Drop, Serve, Miss",1
6,6_4,198.16,335.82,"Drop, Smash, Drop, Lift, Drop, Lift, Smash, Lift, Drop, Drop, Smash, Drop, Clear, Drop, Smash, Drop, Smash, Drop, Smash, Drop, Clear, Drop, Lift, Drop, Lift, Cross Drop, Lift, Drop, Smash, Lift, Drop, Smash, Drop, Lift, Drop, Clear, Drop, Smash, Drop, Drop, Drop, Lift, Cross Drop, Lift, Smash, Smash, Drive, Drop, Lift, Drop, Smash, Cross Drop, Smash, Cross Drop, Smash, Fall",0
6,6_5,349.74,385.8,"Smash, Drop, Lift, Lift, Drop, Lift, Drop, Lift, Drop, Smash, Drop, Clear, Fall",1
8,8_4,7.88,17.72,"Drop, Drop, Drop, Drive, Lift, Lift, Lift, Lift, Smash, Drop, Drop, Drop, Lift, Lift, Lift, Serve, Drop, Drop, Lift, Net",
8,8_5,17.88,22.06,"Drop, Drop, Drive, Drop, Lift, Drop, Drive, Drop, Clear, Lift, Smash, Lift, Fall",1
8,8_10,50.86,53.92,"Drop, Drive, Lift, Clear, Lift, Smash, Smash, Drop, Net",0
