RallyId,Player1Won,dataset_split,position,shot,prefix_sequence,win_probability_after_shot,delta_vs_previous_shot,cumulative_delta_vs_first_shot
5_1,0,validation,1,Serve,Serve,0.4471,0.0,0.0
5_1,0,validation,2,Lift,Serve -> Lift,0.4461,-0.001,-0.001
5_1,0,validation,3,Drop,Serve -> Lift -> Drop,0.4452,-0.0009,-0.0019
5_1,0,validation,4,Lift,Serve -> Lift -> Drop -> Lift,0.4438,-0.0015,-0.0034
5_1,0,validation,5,Net,Serve -> Lift -> Drop -> Lift -> Net,0.4403,-0.0035,-0.0068
5_2,0,train,1,Lift,Lift,0.4788,0.0,0.0
5_2,0,train,2,Drive,Lift -> Drive,0.4645,-0.0143,-0.0143
5_2,0,train,3,Drive,Lift -> Drive -> Drive,0.4549,-0.0095,-0.0239
5_2,0,train,4,Clear,Lift -> Drive -> Drive -> Clear,0.4724,0.0174,-0.0065
5_2,0,train,5,Drop,Lift -> Drive -> Drive -> Clear -> Drop,0.4699,-0.0024,-0.0089
5_2,0,train,6,Lift,Lift -> Drive -> Drive -> Clear -> Drop -> Lift,0.4682,-0.0017,-0.0106
5_2,0,train,7,Drop,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop,0.4706,0.0024,-0.0082
5_2,0,train,8,Clear,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear,0.4788,0.0082,-0.0
5_2,0,train,9,Drive,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive,0.4774,-0.0014,-0.0014
5_2,0,train,10,Lift,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift,0.4805,0.0031,0.0017
5_2,0,train,11,Clear,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear,0.4853,0.0048,0.0065
5_2,0,train,12,Lift,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear -> Lift,0.4888,0.0035,0.01
5_2,0,train,13,Drive,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear -> Lift -> Drive,0.4905,0.0017,0.0117
5_2,0,train,14,Lift,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear -> Lift -> Drive -> Lift,0.4939,0.0033,0.015
5_2,0,train,15,Drive,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear -> Lift -> Drive -> Lift -> Drive,0.4956,0.0018,0.0168
5_2,0,train,16,Fall,Lift -> Drive -> Drive -> Clear -> Drop -> Lift -> Drop -> Clear -> Drive -> Lift -> Clear -> Lift -> Drive -> Lift -> Drive -> Fall,0.4976,0.0019,0.0187
5_3,0,train,1,Drive,Drive,0.4736,0.0,0.0
5_3,0,train,2,Lift,Drive -> Lift,0.4654,-0.0082,-0.0082
5_3,0,train,3,Miss,Drive -> Lift -> Miss,0.4615,-0.0039,-0.0121
5_4,0,train,1,Serve,Serve,0.4471,0.0,0.0
5_4,0,train,2,Lift,Serve -> Lift,0.4461,-0.001,-0.001
5_4,0,train,3,Lift,Serve -> Lift -> Lift,0.4435,-0.0026,-0.0036
5_4,0,train,4,Lift,Serve -> Lift -> Lift -> Lift,0.4423,-0.0012,-0.0048
5_4,0,train,5,Lift,Serve -> Lift -> Lift -> Lift -> Lift,0.4432,0.0009,-0.0039
5_4,0,train,6,Drop,Serve -> Lift -> Lift -> Lift -> Lift -> Drop,0.4476,0.0044,0.0005
5_4,0,train,7,Net,Serve -> Lift -> Lift -> Lift -> Lift -> Drop -> Net,0.4438,-0.0038,-0.0033
5_5,0,train,1,Drop,Drop,0.4822,0.0,0.0
5_5,0,train,2,Drive,Drop -> Drive,0.4653,-0.0169,-0.0169
5_5,0,train,3,Lift,Drop -> Drive -> Lift,0.4596,-0.0057,-0.0226
5_5,0,train,4,Lift,Drop -> Drive -> Lift -> Lift,0.4561,-0.0035,-0.0261
5_5,0,train,5,Drive,Drop -> Drive -> Lift -> Lift -> Drive,0.4515,-0.0046,-0.0307
5_5,0,train,6,Smash,Drop -> Drive -> Lift -> Lift -> Drive -> Smash,0.4518,0.0003,-0.0304
5_5,0,train,7,Lift,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift,0.4546,0.0028,-0.0276
5_5,0,train,8,Drop,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop,0.4603,0.0057,-0.0219
5_5,0,train,9,Clear,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear,0.4686,0.0083,-0.0136
5_5,0,train,10,Drive,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear -> Drive,0.4695,0.001,-0.0127
5_5,0,train,11,Drop,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear -> Drive -> Drop,0.4754,0.0058,-0.0068
5_5,0,train,12,Lift,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear -> Drive -> Drop -> Lift,0.4794,0.004,-0.0028
5_5,0,train,13,Drive,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear -> Drive -> Drop -> Lift -> Drive,0.4813,0.0019,-0.0009
5_5,0,train,14,Fall,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear -> Drive -> Drop -> Lift -> Drive -> Fall,0.4872,0.0059,0.005
5_6,0,train,1,Serve,Serve,0.4471,0.0,0.0
5_6,0,train,2,Lift,Serve -> Lift,0.4461,-0.001,-0.001
5_6,0,train,3,Clear,Serve -> Lift -> Clear,0.473,0.0269,0.0259
5_6,0,train,4,Lift,Serve -> Lift -> Clear -> Lift,0.4645,-0.0085,0.0174
5_6,0,train,5,Fall,Serve -> Lift -> Clear -> Lift -> Fall,0.5117,0.0472,0.0646
5_7,0,test,1,Serve,Serve,0.4471,0.0,0.0
5_7,0,test,2,Drive,Serve -> Drive,0.4421,-0.005,-0.005
5_7,0,test,3,Lift,Serve -> Drive -> Lift,0.4403,-0.0019,-0.0069
5_7,0,test,4,Miss,Serve -> Drive -> Lift -> Miss,0.4417,0.0014,-0.0055
5_8,0,test,1,Lift,Lift,0.4788,0.0,0.0
5_8,0,test,2,Drive,Lift -> Drive,0.4645,-0.0143,-0.0143
5_8,0,test,3,Drop,Lift -> Drive -> Drop,0.4605,-0.004,-0.0184
5_8,0,test,4,Drive,Lift -> Drive -> Drop -> Drive,0.4526,-0.0079,-0.0262
5_8,0,test,5,Miss,Lift -> Drive -> Drop -> Drive -> Miss,0.4538,0.0013,-0.025
5_9,1,train,1,Smash,Smash,0.4841,0.0,0.0
5_9,1,train,2,Drop,Smash -> Drop,0.4736,-0.0105,-0.0105
5_9,1,train,3,Drive,Smash -> Drop -> Drive,0.4617,-0.0119,-0.0224
5_9,1,train,4,Lift,Smash -> Drop -> Drive -> Lift,0.4576,-0.0041,-0.0265
5_9,1,train,5,Drop,Smash -> Drop -> Drive -> Lift -> Drop,0.4579,0.0003,-0.0262
5_9,1,train,6,Drive,Smash -> Drop -> Drive -> Lift -> Drop -> Drive,0.4549,-0.0031,-0.0292
5_9,1,train,7,Drop,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop,0.4592,0.0044,-0.0248
5_9,1,train,8,Clear,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear,0.4683,0.009,-0.0158
5_9,1,train,9,Drop,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop,0.473,0.0048,-0.0111
5_9,1,train,10,Drop,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop,0.4782,0.0052,-0.0059
5_9,1,train,11,Lift,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift,0.4818,0.0036,-0.0023
