pattern_size,pattern,count,rally_count,wins,losses,win_rate,rally_support_pct,delta_vs_baseline
3,Defense -> Defense -> Neutral,21,13,16,5,0.7619,0.2131,0.2209
3,Neutral -> Neutral -> Defense,27,18,18,9,0.6667,0.2951,0.1257
3,Defense -> Neutral -> Attack,24,16,16,8,0.6667,0.2623,0.1257
2,Defense -> Neutral,108,38,68,40,0.6296,0.623,0.0886
3,Neutral -> Attack -> Defense,21,19,13,8,0.619,0.3115,0.0781
3,Neutral -> Defense -> Defense,31,24,19,12,0.6129,0.3934,0.0719
3,Defense -> Neutral -> Defense,49,24,30,19,0.6122,0.3934,0.0713
3,Neutral -> Attack -> Attack,10,9,6,4,0.6,0.1475,0.059
3,Neutral -> Neutral -> Attack,5,4,3,2,0.6,0.0656,0.059
3,Neutral -> Defense -> Neutral,59,24,35,24,0.5932,0.3934,0.0522
2,Neutral -> Defense,120,42,71,49,0.5917,0.6885,0.0507
3,Attack -> Attack -> Neutral,12,9,7,5,0.5833,0.1475,0.0423
3,Defense -> Neutral -> Neutral,26,18,15,11,0.5769,0.2951,0.0359
2,Defense -> Defense,76,37,42,34,0.5526,0.6066,0.0116
2,Neutral -> Neutral,58,26,31,27,0.5345,0.4262,-0.0065
2,Neutral -> Attack,59,30,31,28,0.5254,0.4918,-0.0156
3,Defense -> Defense -> Defense,21,14,11,10,0.5238,0.2295,-0.0172
3,Attack -> Neutral -> Defense,31,16,16,15,0.5161,0.2623,-0.0249
3,Attack -> Defense -> Neutral,22,15,11,11,0.5,0.2459,-0.041
3,Attack -> Defense -> Defense,18,17,9,9,0.5,0.2787,-0.041
3,Attack -> Neutral -> Neutral,8,7,4,4,0.5,0.1148,-0.041
2,Attack -> Defense,67,34,33,34,0.4925,0.5574,-0.0484
2,Attack -> Attack,43,20,21,22,0.4884,0.3279,-0.0526
3,Neutral -> Attack -> Neutral,25,13,12,13,0.48,0.2131,-0.061
3,Neutral -> Defense -> Attack,23,14,11,12,0.4783,0.2295,-0.0627
2,Attack -> Neutral,63,27,30,33,0.4762,0.4426,-0.0648
3,Defense -> Attack -> Attack,21,14,10,11,0.4762,0.2295,-0.0648
3,Attack -> Attack -> Defense,21,15,10,11,0.4762,0.2459,-0.0648
3,Neutral -> Neutral -> Neutral,17,8,8,9,0.4706,0.1311,-0.0704
3,Attack -> Defense -> Attack,20,12,9,11,0.45,0.1967,-0.091
3,Defense -> Attack -> Defense,23,14,10,13,0.4348,0.2295,-0.1062
2,Defense -> Attack,78,30,33,45,0.4231,0.4918,-0.1179
3,Attack -> Neutral -> Attack,20,14,8,12,0.4,0.2295,-0.141
3,Attack -> Attack -> Attack,10,7,4,6,0.4,0.1148,-0.141
3,Defense -> Attack -> Neutral,23,17,9,14,0.3913,0.2787,-0.1497
3,Defense -> Defense -> Attack,26,20,10,16,0.3846,0.3279,-0.1564
