pattern_size,pattern,count,rally_count,wins,losses,win_rate,rally_support_pct,delta_vs_baseline
2,Lift -> Long Defence,6,5,6,0,1.0,0.082,0.459
2,Net Shot -> Clear,5,4,5,0,1.0,0.0656,0.459
3,Drop -> Drive -> Drop,5,4,5,0,1.0,0.0656,0.459
2,Drop -> Fall,3,3,3,0,1.0,0.0492,0.459
2,Lift -> Short Defence,3,3,3,0,1.0,0.0492,0.459
2,Clear -> Net Shot,3,3,3,0,1.0,0.0492,0.459
3,Clear -> Drop -> Drop,3,3,3,0,1.0,0.0492,0.459
3,Lift -> Clear -> Drop,3,2,3,0,1.0,0.0328,0.459
3,Smash -> Net Shot -> Clear,3,3,3,0,1.0,0.0492,0.459
3,Lift -> Drop -> Drive,7,5,6,1,0.8571,0.082,0.3162
2,Lift -> Fall,11,11,9,2,0.8182,0.1803,0.2772
2,Net Shot -> Lift,5,5,4,1,0.8,0.082,0.259
3,Drop -> Lift -> Drive,5,3,4,1,0.8,0.0492,0.259
3,Drop -> Drop -> Lift,13,8,10,3,0.7692,0.1311,0.2282
3,Drop -> Lift -> Drop,24,10,18,6,0.75,0.1639,0.209
2,Clear -> Serve,4,4,3,1,0.75,0.0656,0.209
3,Drive -> Drop -> Clear,4,4,3,1,0.75,0.0656,0.209
3,Drop -> Clear -> Fall,4,4,3,1,0.75,0.0656,0.209
3,Net Shot -> Smash -> Net Shot,4,4,3,1,0.75,0.0656,0.209
2,Net Shot -> Smash,11,9,8,3,0.7273,0.1475,0.1863
3,Lift -> Drop -> Lift,21,10,15,6,0.7143,0.1639,0.1733
2,Lift -> Net,6,6,4,2,0.6667,0.0984,0.1257
3,Drop -> Drive -> Lift,6,6,4,2,0.6667,0.0984,0.1257
2,Smash -> Net Kill,3,3,2,1,0.6667,0.0492,0.1257
2,Serve -> Smash,3,3,2,1,0.6667,0.0492,0.1257
2,Net Kill -> Lift,3,2,2,1,0.6667,0.0328,0.1257
3,Clear -> Lift -> Fall,3,3,2,1,0.6667,0.0492,0.1257
3,Smash -> Smash -> Drop,3,3,2,1,0.6667,0.0492,0.1257
3,Drop -> Smash -> Drive,3,3,2,1,0.6667,0.0492,0.1257
3,Drop -> Clear -> Lift,3,3,2,1,0.6667,0.0492,0.1257
3,Serve -> Lift -> Drive,3,2,2,1,0.6667,0.0328,0.1257
3,Drive -> Lift -> Fall,3,3,2,1,0.6667,0.0492,0.1257
3,Drop -> Lift -> Lift,11,8,7,4,0.6364,0.1311,0.0954
2,Drop -> Drive,16,10,10,6,0.625,0.1639,0.084
2,Clear -> Fall,8,8,5,3,0.625,0.1311,0.084
3,Drive -> Drive -> Lift,8,6,5,3,0.625,0.0984,0.084
